,dataSet,accuracy_df,accuracy_rf,f1_df,f1_rf,precision_df,precision_rf,classes_type,data_std,time_cost,feature_num,data_num
102,mfeat-pixel,0.9780000000000001,0.9735000000000001,0.9780026587178444,0.9734779340101186,0.9785432962532411,0.9739801372985806,10,0.0,14.344549894332886,241,2000
103,mfeat-zernike,0.882,0.784,0.8810317776617345,0.7799488495061742,0.884763882189129,0.7840251800339473,10,0.0,23.39285182952881,48,2000
104,mofn-3-7-10,1.0,0.9932075471698113,1.0,0.9931348423873313,1.0,0.9933281355092216,2,0.2794561933534743,5.5638768672943115,11,1324
105,molecular-biology_promoters,0.8865800865800866,0.8779220779220779,0.8863705969177769,0.8784424499985141,0.8924011342193161,0.8857300275482093,2,0.0,3.465900182723999,58,106
106,monk1,0.9783783783783784,0.9676158301158303,0.9783707702397919,0.9676226269679435,0.9793104433603987,0.969002322267497,2,0.0,3.918376922607422,7,556
107,monk2,0.9500688705234159,0.926763085399449,0.9497983192783666,0.9256962725664437,0.9531093986382819,0.9293796003890746,2,0.1572379367720466,5.03211522102356,7,601
108,monk3,0.9837510237510237,0.9819492219492219,0.983747462864106,0.981948050521801,0.9838413080007907,0.9820113530458358,2,0.019855595667870013,5.207712888717651,7,554
109,movement_libras,0.825,0.7972222222222222,0.8225148770982104,0.7977091250253014,0.8468893298059965,0.8293264991181658,15,0.0,6.927046298980713,91,360
110,mushroom,1.0,1.0,1.0,1.0,1.0,1.0,2,0.017971442639094032,9.27558708190918,23,8124
111,mux6,0.9532307692307693,0.9218461538461538,0.953497435897436,0.922757992007992,0.9561398601398601,0.9344895104895106,2,0.0,3.8937528133392334,7,128
112,new-thyroid,0.9534883720930234,0.9534883720930232,0.9531845212471067,0.9530239434112145,0.9550488271418504,0.9546013017610144,3,0.25780293253202935,3.6975769996643066,6,215
113,nursery,0.9966814436010691,0.985954705509575,0.9966756554937163,0.9857159814886997,0.9966855040772582,0.9860689108602584,4,0.12996870053979517,32.937906980514526,9,12958
114,optdigits,0.9870106761565836,0.9820284697508896,0.9870230521872332,0.9820228095421122,0.9871586331458794,0.9821827107417231,10,0.001150407820302107,29.540013074874878,65,5620
115,page-blocks,0.9762456904827493,0.9735059644553521,0.9755852943806943,0.972854960773178,0.9759495491644872,0.973289651843927,5,0.3493331771572183,21.839306116104126,11,5473
116,parity5+5,0.6432499999999999,0.5924880952380952,0.6430606298537509,0.5931539314575505,0.652199810301783,0.5993079503617766,2,0.004448398576512469,8.108386039733887,11,1124
117,parity5,1.0,0.0,1.0,0.0,1.0,0.0,2,0.0,4.3042519092559814,6,32
118,pendigits,0.993176772798952,0.9919942516678727,0.9931701502827831,0.9919890148751292,0.9932500770974393,0.9920652476262533,10,0.004003283362348256,41.350157022476196,17,10992
119,phoneme,0.9104402645013192,0.9054440333024978,0.9098318588877348,0.9047983281089174,0.9096221928898901,0.9045301118110368,2,0.20651369356032567,19.000969886779785,6,5404
120,pima,0.7642729819200408,0.7616586028350734,0.7585491220802165,0.756900705142644,0.760407944631782,0.759125789164818,2,0.15104166666666666,6.987746000289917,9,768
121,postoperative-patient-data,0.669281045751634,0.6477124183006536,0.6302167875697288,0.5760757033007244,0.6298688372160114,0.534376571141277,2,0.2272727272727273,4.818618059158325,9,88
122,prnn_crabs,0.9400000000000001,0.9400000000000001,0.9399620117889722,0.939898423499973,0.9451289682539683,0.9445392475171888,2,0.0,4.351129055023193,8,200
123,prnn_fglass,0.7902439024390244,0.7804878048780488,0.7771466973886328,0.771733643095239,0.7833528630832867,0.802850923984353,5,0.1303452606428038,3.9792110919952393,10,205
124,prnn_synth,0.804,0.8039999999999999,0.8040657801582173,0.8037767073146196,0.8106536796536796,0.8100349783549783,2,0.0,4.143495082855225,3,250
125,profb,0.6800221116639028,0.6874405749032615,0.632150150681012,0.6513444864625004,0.65590210590745,0.6666296940388017,2,0.16666666666666666,8.100106000900269,10,672
126,promoters,0.8865800865800866,0.8779220779220779,0.8863705969177769,0.8784424499985141,0.8924011342193161,0.8857300275482093,2,0.0,3.465085029602051,58,106
127,ring,0.9736486486486486,0.9497297297297296,0.9736485390521794,0.9497116895679376,0.9736817639547665,0.9510895045076337,2,0.004864864864864843,71.37012195587158,21,7400
128,saheart,0.6992052360916317,0.6820009350163627,0.6846317964633993,0.6677411090870449,0.6935467391833657,0.6726591663158864,2,0.15367965367965367,6.426659107208252,10,462
129,satimage,0.9224553224553225,0.9145299145299145,0.9202701412069872,0.9121905797047833,0.9214775967150544,0.9125400426559566,6,0.06192371215211842,42.64172315597534,37,6435
130,schizo,0.6911764705882353,0.7,0.6848937535054922,0.696961227433356,0.715623823576484,0.7189871580941556,2,0.020588235294117657,5.502103805541992,15,340
131,segmentation,0.9805194805194806,0.9783549783549784,0.9805342389735889,0.9782872516793436,0.9810374004550158,0.9785555394311564,7,2.7755575615628914e-17,11.314303874969482,20,2310
132,shuttle,0.9998275862068965,0.9997758620689655,0.9998097624126252,0.9997453633226527,0.9998339202678558,0.9997615638078615,7,0.26769631350816964,75.63729000091553,10,58000
133,solar-flare_1,0.7174603174603175,0.7142857142857142,0.6983344686778363,0.708315360571599,0.7119360418801863,0.7325695673086978,5,0.07191719994739872,5.8575921058654785,13,315
134,solar-flare_2,0.7354745294195077,0.7335834320565134,0.7243639974379741,0.7266114544887572,0.7279783110426779,0.729518460025169,6,0.08923606745084162,7.957210063934326,13,1066
135,sonar,0.8413472706155632,0.8413472706155632,0.8418139079312965,0.8408677160749789,0.8489228179523192,0.8511596463475947,2,0.033653846153846145,5.600713014602661,61,208
136,soybean,0.9333333333333332,0.9348148148148148,0.9330785877663225,0.9342991172771027,0.9383897771074242,0.9382661213642818,18,0.04362271913524333,5.715640068054199,36,675
137,spambase,0.9567469196997592,0.9526164849171506,0.9566821527839959,0.9525026457775885,0.9567153849560054,0.9526058993465185,2,0.10595522712453817,23.453397035598755,58,4601
138,spect,0.83487071977638,0.8424178895877009,0.8152672829430699,0.8327655504533003,0.8183675990661138,0.833351562444854,2,0.29400749063670417,5.644046783447266,23,267
